Split ratio    Model              Train Accuracy     Test Accuracy
-------------  -----------------  -----------------  -----------------
0.2            Descison tree      99.7970573313039   99.72102460055795
0.2            Random Forest      99.7970573313039   99.72102460055795
0.2            KNN                99.7970573313039   99.72102460055795
0.2            AdaBoost           71.92415017757483  72.43215825513568
0.2            Gaussian NB        69.76788432267884  69.54095866091808
0.2            SVM                71.20750887874175  70.68222165863556
0.2            Gradient Boosting  83.3523592085236   82.3231042353538
0.2            MLP                71.68949771689498  71.62059345675881
-------------  -------------      -------------      -------------
0.3            Descison tree      99.81155323621077  99.7125464998309
0.3            Random Forest      99.81155323621077  99.7125464998309
0.3            KNN                99.78980937885046  99.62800135272235
0.3            AdaBoost           68.88454011741683  68.97193101115995
0.3            Gaussian NB        69.81952598390954  69.496110923233
0.3            SVM                71.29086033195622  70.66283395333109
0.3            Gradient Boosting  83.91679350583459  82.93878931349342
0.3            MLP                71.77647314633616  71.17010483598241
-------------  -------------      -------------      -------------
0.4            Descison tree      99.7970573313039   99.6575776791376
0.4            Random Forest      99.7970573313039   99.6575776791376
0.4            KNN                99.7970573313039   99.6575776791376
0.4            AdaBoost           67.93505834601726  68.62396956246036
0.4            Gaussian NB        69.63470319634703  70.05707038681041
0.4            SVM                71.0975815998647   71.10970196575776
0.4            Gradient Boosting  83.92524945036361  82.79010779961953
0.4            MLP                71.25824454591579  71.28725428027902
-------------  -------------      -------------      -------------
0.5            Descison tree      99.8072044647387   99.7564935064935
0.5            Random Forest      99.8072044647387   99.7564935064935
0.5            KNN                99.77676306443429  99.70576298701299
0.5            AdaBoost           68.20903094875698  68.86160714285714
0.5            Gaussian NB        69.67021816336884  70.09943181818183
0.5            SVM                70.82699137493658  70.89082792207793
0.5            Gradient Boosting  83.78488077118215  82.79220779220779
0.5            MLP                72.23744292237443  71.92573051948052
-------------  -------------      -------------      -------------
0.6            Descison tree      99.7970573313039   99.77170880189398
0.6            Random Forest      99.7970573313039   99.72097742453707
0.6            KNN                99.67021816336884  99.1798427327302
0.6            AdaBoost           70.15474378488076  71.37904794115161
0.6            Gaussian NB        69.38102486047691  70.08539781855077
0.6            SVM                70.42110603754439  71.01547307009385
0.6            Gradient Boosting  84.83003551496702  84.03652659169697
0.6            MLP                71.87975646879757  73.16310137820243
-------------  -------------      -------------      -------------
